Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
ACURA ILX,2.4,4,AutoMan-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,GHNXV02.4XH3,small car,6,25,36,29,7,Yes
ACURA RLX,3.5,6,AutoMan-7,4WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GHNXV03.5PK3,midsize car,7,28,32,30,7,Yes
ACURA RLX,3.5,6,AutoMan-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,GHNXV03.5PK3,midsize car,8,28,32,30,7,Yes
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,GHNXJ02.41A3,small car,6,24,35,28,7,Yes
AUDI A3 Cabriolet,1.8,4,AMS-6,2WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,GVGAV02.0APA,small car,9,24,35,28,7,Yes
AUDI A3 Cabriolet,1.8,4,AMS-6,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0APA,small car,9,24,35,28,7,Yes
AUDI A6,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,GVGAV02.0AAC,midsize car,6,24,35,28,7,Yes
AUDI A6,2,4,AMS-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,GVGAV02.0AAC,midsize car,6,24,35,28,7,Yes
BLUECAR S.A.S. Bluecar,N/A,N/A,Man-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GBRGV00.0L8X,small car,10,84,67,76,10,Elite
BLUECAR S.A.S. Bluecar,N/A,N/A,Man-1,2WD,Electricity,CA,ZEV,California ZEV,GBRGV00.0L8X,small car,10,84,67,76,10,Elite
BMW 320i,2,4,Man-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,GBMXJ02.0N20,small car,6,23,36,28,7,Yes
BMW 320i,2,4,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,GBMXJ02.0N20,small car,6,24,36,28,7,Yes
BMW 328d,2,4,SemiAuto-8,2WD,Diesel,CA,U2,California LEV-II ULEV,GBMXV02.0N47,small car,6,32,42,36,7,Yes
BMW 328d,2,4,SemiAuto-8,4WD,Diesel,CA,U2,California LEV-II ULEV,GBMXV02.0N47,small car,6,30,40,34,7,Yes
BMW 328d Sports Wagon,2,4,SemiAuto-8,4WD,Diesel,CA,U2,California LEV-II ULEV,GBMXV02.0N47,station wagon,6,30,40,34,7,Yes
BMW X5 xDrive40e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,B5,Federal Tier 2 Bin 5,GBMXT02.0H20,standard SUV,5,23/55,25/57,24/56,8,Yes
BMW X5 xDrive40e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,U2,California LEV-II ULEV,GBMXT02.0H20,standard SUV,6,23/55,25/57,24/56,8,Yes
BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,CA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,small SUV,6,25,33,28,7,Yes
BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,small SUV,6,25,33,28,7,Yes
CADILLAC ELR,1.4,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,GGMXV01.4088,small car,8,28/49,33/52,30/50,10,Yes
CADILLAC ELR,1.4,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,GGMXV01.4088,small car,8,31/87,33/83,32/85,10,Yes
CADILLAC ELR,1.4,4,CVT,2WD,Gasoline/Electricity,FA,T3B85,Federal Tier 3 Transitional Bin 85,GGMXV01.4088,small car,7,28/49,33/52,30/50,10,Yes
CADILLAC ELR,1.4,4,CVT,2WD,Gasoline/Electricity,FA,T3B85,Federal Tier 3 Transitional Bin 85,GGMXV01.4088,small car,7,31/87,33/83,32/85,10,Yes
CHEVROLET Cruze Limited,1.4,4,Man-6,2WD,Gasoline,CA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,midsize car,6,26,38,30,7,Yes
CHEVROLET Cruze Limited,1.4,4,Man-6,2WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,midsize car,6,26,38,30,7,Yes
CHEVROLET Cruze Limited,1.4,4,SemiAuto-6,2WD,Gasoline,CA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,midsize car,6,26,38,30,7,Yes
CHEVROLET Cruze Limited,1.4,4,SemiAuto-6,2WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,midsize car,6,26,38,30,7,Yes
CHEVROLET Cruze Limited,1.8,4,Man-6,2WD,Gasoline,CA,B4,Federal Tier 2 Bin 4,GGMXV01.8011,midsize car,6,25,36,29,7,Yes
CHEVROLET Cruze Limited,1.8,4,Man-6,2WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GGMXV01.8011,midsize car,6,25,36,29,7,Yes
CHEVROLET Cruze Limited,1.8,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,GGMXV01.8031,midsize car,8,25,36,29,7,Yes
CHEVROLET Cruze Limited,1.8,4,Man-6,2WD,Gasoline,FA,T3B85,Federal Tier 3 Transitional Bin 85,GGMXV01.8031,midsize car,7,25,36,29,7,Yes
CHEVROLET Cruze Limited Eco,1.4,4,Auto-6,2WD,Gasoline,CA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,midsize car,6,26,39,31,7,Yes
CHEVROLET Cruze Limited Eco,1.4,4,Auto-6,2WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,midsize car,6,26,39,31,7,Yes
CHEVROLET Cruze Limited Eco,1.4,4,Man-6,2WD,Gasoline,CA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,midsize car,6,28,42,33,8,Yes
CHEVROLET Cruze Limited Eco,1.4,4,Man-6,2WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,midsize car,6,28,42,33,8,Yes
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,CA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,small car,6,29,40,33,8,Yes
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,small car,6,29,40,33,8,Yes
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,CA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,small car,6,27,37,31,7,Yes
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GGMXV01.4099,small car,6,27,37,31,7,Yes
CHEVROLET Sonic,1.8,4,Man-5,2WD,Gasoline,CA,B4,Federal Tier 2 Bin 4,GGMXV01.8021,small car,6,26,35,30,7,Yes
CHEVROLET Sonic,1.8,4,Man-5,2WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GGMXV01.8021,small car,6,26,35,30,7,Yes
CHEVROLET Sonic,1.8,4,Man-5,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,GGMXV01.8031,small car,8,26,35,30,7,Yes
